identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-CHC-1161637,1161637,,pdf_ocr,accounts/GB-CHC-1161637-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1161987,1161987,,pdf_ocr,accounts/GB-CHC-1161987-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1162002,1162002,,pdf_ocr,accounts/GB-CHC-1162002-2018-06-30.pdf,2018-06-30 00:00:00,Charity
GB-CHC-1162081,1162081,,pdf_ocr,accounts/GB-CHC-1162081-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1162626,1162626,,pdf_ocr,accounts/GB-CHC-1162626-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1162711,1162711,,pdf_ocr,accounts/GB-CHC-1162711-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1163030,1163030,,pdf_ocr,accounts/GB-CHC-1163030-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163092,1163092,,pdf_ocr,accounts/GB-CHC-1163092-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1163226,1163226,,pdf_ocr,accounts/GB-CHC-1163226-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163336,1163336,,pdf_ocr,accounts/GB-CHC-1163336-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1163441,1163441,,pdf_ocr,accounts/GB-CHC-1163441-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163533,1163533,,pdf_ocr,accounts/GB-CHC-1163533-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1163601,1163601,,pdf_ocr,accounts/GB-CHC-1163601-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1163616,1163616,,pdf_ocr,accounts/GB-CHC-1163616-2016-03-31.pdf,2016-03-31 00:00:00,Charity
GB-CHC-1163851,1163851,,pdf_ocr,accounts/GB-CHC-1163851-2017-01-31.pdf,2017-01-31 00:00:00,Charity
